"","X","pubbel1","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"73528",73528,1,1,1,1,2,1,3,2,1,2,1,1,8,840,1,23,9,1,840004,6,6
"73529",73529,2,1,1,1,2,1,2,1,3,1,1,1,9,840,2,44,9,5,840010,1,1
"73530",73530,3,1,1,1,2,1,6,2,1,2,1,2,5,840,1,48,9,1,840010,1,1
"73531",73531,3,1,-1,2,2,6,7,3,3,2,1,3,4,840,1,48,9,1,840010,96,1
"73532",73532,2,1,1,2,2,4,1,1,2,2,1,1,9,840,2,45,8,4,840010,2,1
"73533",73533,1,1,1,1,2,6,2,1,2,1,1,1,10,840,1,72,9,1,840011,2,1
"73534",73534,1,1,1,1,2,1,4,2,2,1,1,1,10,840,2,25,8,1,840010,2,6
"73535",73535,2,1,1,1,2,2,7,3,2,1,1,1,10,840,1,25,5,2,840010,2,1
"73536",73536,2,1,1,1,2,1,2,1,1,1,1,2,10,840,1,24,5,1,840010,2,1
"73537",73537,1,1,1,1,2,1,4,2,1,2,1,1,10,840,2,20,4,2,840010,2,6
"73538",73538,3,1,1,1,2,1,4,3,2,1,1,1,10,840,2,68,5,4,840010,2,5
"73539",73539,1,1,1,1,2,2,1,3,1,2,2,1,10,840,1,23,4,1,840010,1,1
"73540",73540,-1,1,1,1,2,1,2,2,1,2,1,1,10,840,1,34,6,1,840011,2,1
"73541",73541,2,1,1,1,2,1,7,1,2,1,1,2,8,840,1,21,5,1,840011,96,6
"73542",73542,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,70,5,4,840010,2,1
"73543",73543,2,1,1,1,-1,1,3,1,1,3,1,2,7,840,2,65,5,7,840010,1,1
"73544",73544,1,1,2,-1,2,3,2,1,2,2,1,1,7,840,1,37,9,1,840010,2,1
"73545",73545,2,1,1,1,2,1,4,2,1,1,1,2,10,840,2,26,8,5,840010,2,1
"73546",73546,1,1,1,1,2,4,2,1,2,2,1,1,10,840,2,34,9,1,840010,1,1
