"","X","pubbel1","pubbel2","pubbel3","pubbel4","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"55833",55833,2,3,2,4,1,1,1,2,9,7,2,1,1,1,1,10,840,2,18,3,6,840002,64,6
"55834",55834,3,1,2,1,1,1,1,2,10,5,2,1,1,1,1,10,840,1,23,3,1,840002,0,6
"55835",55835,2,4,5,-1,1,1,1,2,1,2,1,1,2,1,2,10,840,1,22,3,1,840002,0,6
"55836",55836,1,4,2,4,1,1,1,2,10,5,2,1,4,1,1,8,840,2,44,3,1,840002,64,1
"55837",55837,1,3,-1,5,1,1,1,2,3,3,1,2,1,1,1,7,840,2,31,9,1,840002,64,1
"55838",55838,1,2,3,4,1,1,1,2,1,1,1,1,2,1,1,8,840,2,36,9,2,840002,-2,1
"55839",55839,3,4,1,4,1,1,1,1,1,5,1,1,1,1,1,10,840,2,50,3,1,840002,64,1
"55840",55840,1,3,3,3,1,1,1,2,3,1,1,1,1,1,2,10,840,2,26,3,5,840002,53,1
"55841",55841,1,2,3,4,1,1,1,2,10,5,2,1,1,1,3,8,840,1,40,9,1,840002,53,6
"55842",55842,1,3,2,3,1,1,1,2,1,6,2,1,1,1,1,9,840,2,63,2,8,840002,64,1
"55843",55843,3,2,3,2,1,1,1,2,1,5,2,1,2,1,1,8,840,2,37,9,1,840002,0,2
"55844",55844,2,1,4,1,1,1,1,2,1,2,1,1,2,1,1,10,840,2,40,3,2,840002,-2,1
"55845",55845,1,2,2,3,1,1,1,2,1,1,1,1,2,1,1,10,840,2,34,3,2,840002,-2,1
"55846",55846,2,2,3,2,1,1,1,2,1,5,2,-1,2,1,2,7,840,2,36,-1,1,840002,0,6
"55847",55847,2,3,3,3,1,1,1,1,5,3,1,1,1,1,2,9,840,1,32,3,1,840002,64,6
"55848",55848,1,3,3,3,1,1,1,2,1,2,1,1,2,1,1,10,840,2,27,4,1,840003,53,6
"55849",55849,2,3,4,2,1,1,1,2,1,1,1,1,2,1,1,10,840,2,49,5,1,840002,53,1
"55850",55850,1,3,3,3,1,1,1,2,7,7,2,1,3,2,2,7,840,1,19,6,2,840002,0,6
"55851",55851,1,3,3,3,1,1,1,2,1,2,1,1,1,1,1,10,840,2,28,9,1,840002,53,1
"55852",55852,1,4,4,2,1,1,1,2,1,2,1,1,1,1,1,10,840,2,52,9,1,840002,62,1
"55853",55853,2,4,2,4,1,1,1,2,1,3,1,1,1,1,1,10,840,1,42,8,1,840002,62,3
"55854",55854,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,10,840,2,41,3,2,840002,64,1
"55855",55855,3,4,2,4,1,1,1,2,2,2,2,2,1,2,2,7,840,1,48,9,1,840002,64,1
"55856",55856,4,2,1,5,1,1,1,1,1,7,2,1,1,1,3,8,840,2,45,6,1,840002,62,1
"55857",55857,3,4,4,2,1,1,1,2,1,3,1,1,1,1,2,9,840,1,55,8,4,840002,62,4
"55858",55858,1,2,4,2,1,1,1,2,1,1,1,1,2,1,1,10,840,2,38,9,2,840002,62,1
"55859",55859,1,2,2,4,1,1,1,2,1,3,2,1,4,1,2,7,840,1,23,5,1,840002,53,6
"55860",55860,1,2,4,1,1,1,1,2,2,1,1,1,1,1,1,10,840,1,37,9,3,840003,0,1
"55861",55861,1,1,3,1,1,1,1,2,7,4,2,1,1,1,1,10,840,2,24,5,1,840003,0,6
"55862",55862,1,1,2,4,1,1,1,2,5,2,1,1,3,1,1,10,840,1,25,8,1,840003,62,6
"55863",55863,1,2,2,2,1,1,1,2,1,3,2,2,1,1,1,10,840,2,21,5,2,840003,0,6
"55864",55864,2,3,3,3,1,1,1,2,6,3,1,1,3,1,1,10,840,2,21,6,1,840002,0,6
"55865",55865,3,1,3,1,1,1,1,1,1,4,2,1,1,1,1,10,840,2,26,4,1,840002,53,6
"55866",55866,1,1,4,1,1,1,1,2,2,1,1,1,1,1,1,10,840,2,52,4,2,840002,53,6
"55867",55867,1,1,3,1,1,1,1,2,7,1,1,1,2,2,1,10,840,2,43,5,1,840002,53,1
"55868",55868,1,2,4,3,1,1,2,2,4,2,1,2,3,1,1,7,840,1,33,7,3,840003,53,6
"55869",55869,1,2,2,2,1,1,1,2,8,2,1,1,2,2,2,9,840,1,19,3,1,840003,53,6
"55870",55870,1,3,3,3,1,1,1,2,1,1,1,1,1,1,1,10,840,2,37,3,1,840003,53,1
"55871",55871,2,3,3,3,1,1,1,2,7,3,2,1,1,2,2,9,840,1,34,3,1,840003,0,1
"55872",55872,2,3,2,2,1,1,1,2,1,1,1,1,1,1,1,10,840,1,66,9,7,840002,62,6
"55873",55873,2,2,5,1,1,1,1,2,1,1,1,1,1,1,1,10,840,2,40,3,7,840002,62,1
