"","X","country","pubbel1","pubbel2","pubbel3","pubbel4","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","sex","age","educ","wrkstat","ethnic","denom","marital"
"78928",78928,840,1,4,2,4,2,1,3,1,1,2,1,2,9,1,87,5,4,1400,62,1
"78929",78929,840,1,1,5,1,2,1,2,2,1,1,1,1,10,1,54,7,8,1400,53,5
"78930",78930,840,3,5,2,4,2,3,7,0,2,3,1,2,8,1,50,9,1,1400,42,6
"78931",78931,840,1,4,5,1,1,1,-2,0,1,-2,1,1,10,2,41,3,3,1400,-2,1
"78932",78932,840,3,4,4,4,2,2,7,0,1,1,1,1,10,2,53,5,7,200,0,1
"78933",78933,840,4,4,4,2,2,1,7,0,2,2,1,2,9,1,63,5,3,1400,0,3
"78934",78934,840,3,2,4,4,2,1,4,1,1,1,1,2,10,2,63,3,4,1250,64,1
"78935",78935,840,3,4,4,4,2,1,7,0,1,1,1,2,10,1,72,6,4,1400,0,3
"78936",78936,840,2,2,2,2,2,1,2,2,1,2,1,1,10,1,71,8,4,1400,62,1
"78937",78937,840,1,1,4,2,2,1,4,2,1,1,1,1,10,1,84,5,4,1400,64,5
"78938",78938,840,2,4,4,4,2,1,4,2,1,3,1,1,8,1,83,6,4,8001,42,3
"78939",78939,840,1,2,2,2,2,1,2,2,1,3,1,1,10,2,72,5,1,1400,64,1
"78940",78940,840,2,2,4,2,2,1,2,2,1,2,1,1,9,1,42,6,3,8000,62,1
"78941",78941,840,4,5,1,5,2,1,4,1,1,2,2,3,5,1,53,6,1,1400,62,1
"78942",78942,840,2,4,4,5,2,1,3,2,1,2,1,2,10,1,79,7,4,1400,64,1
"78943",78943,840,2,4,4,4,2,2,6,0,1,3,1,2,10,2,66,5,4,1400,62,5
"78944",78944,840,3,4,4,4,2,2,7,0,1,2,2,3,5,1,57,5,1,1400,62,1
"78945",78945,840,3,4,2,5,2,1,7,0,1,2,1,1,10,1,53,5,7,1400,0,1
"78946",78946,840,4,1,1,1,2,1,6,0,2,3,2,4,1,1,76,6,4,1400,62,1
"78947",78947,840,1,2,4,2,2,1,2,2,1,2,1,1,9,2,72,5,5,1400,64,1
"78948",78948,840,1,2,4,1,2,2,1,2,1,1,1,1,10,2,85,6,4,1400,64,5
"78949",78949,840,2,4,4,5,2,1,7,0,1,2,1,3,8,1,50,5,8,1400,0,1
"78950",78950,840,2,4,4,5,2,2,1,2,1,1,1,1,10,1,43,8,1,1250,64,6
"78951",78951,840,2,-5,-5,-5,1,-5,-5,0,-5,-5,-5,3,-5,2,33,4,5,1400,-5,6
"78952",78952,840,2,4,5,1,1,1,2,0,2,2,1,2,7,2,57,4,4,1400,0,1
"78953",78953,840,2,2,2,2,2,5,6,0,1,3,1,1,10,1,65,5,4,1400,0,1
"78954",78954,840,3,4,4,4,2,1,7,0,1,3,1,3,7,2,29,7,1,1400,0,1
"78955",78955,840,2,4,4,2,2,2,3,2,1,2,1,2,10,1,49,4,1,1250,62,1
"78956",78956,840,1,4,4,4,2,1,2,1,1,1,1,1,10,2,53,7,8,1400,62,3
"78957",78957,840,2,2,4,2,2,2,2,0,1,2,1,2,10,2,63,6,1,1400,64,1
"78958",78958,840,2,4,2,4,2,3,5,1,1,3,2,3,5,2,35,5,3,1400,62,1
"78959",78959,840,1,1,5,1,2,1,6,1,1,2,1,1,10,1,48,5,8,1400,62,6
"78960",78960,840,2,4,1,2,2,1,2,2,1,3,1,1,10,2,73,8,4,1250,64,6
"78961",78961,840,1,1,1,1,2,1,1,2,1,1,1,1,10,1,70,5,4,1400,62,1
"78962",78962,840,1,2,5,1,1,1,1,1,1,1,1,1,10,1,50,5,1,1400,53,1
"78963",78963,840,1,4,2,4,1,1,5,0,1,2,1,2,8,1,75,5,1,1400,62,1
